analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Variance Analysis,120,10,110,6,2032,3,62028,0.5,True,,0.15111962093996523
Logistic Regression,120,10,110,6,2032,4,62029,0.5,True,,0.2135323499266049
Multiple Linear Regression,120,10,110,6,2032,4,62029,0.5,True,,0.032335084170993046
Correlation Analysis,120,10,110,6,2032,4,62029,0.5,True,,0.03218608685484642
Variance Analysis,120,10,110,6,2032,4,62029,0.5,True,,0.22221927601853342
Logistic Regression,120,10,110,6,2032,5,62030,0.5,True,,0.14987504494104162
Multiple Linear Regression,120,10,110,6,2032,5,62030,0.5,True,,0.01986167677156458
Correlation Analysis,120,10,110,6,2032,5,62030,0.5,True,,0.0484377963913849
Variance Analysis,120,10,110,6,2032,5,62030,0.5,True,,0.12693948971824992
Logistic Regression,120,10,110,6,2032,6,62031,0.5,True,,0.08691724143641957
Multiple Linear Regression,120,10,110,6,2032,6,62031,0.5,True,,0.02324429339937969
Correlation Analysis,120,10,110,6,2032,6,62031,0.5,True,,0.04162845535029031
Variance Analysis,120,10,110,6,2032,6,62031,0.5,True,,0.1638598978495671
Logistic Regression,120,10,110,6,2032,7,62032,0.5,True,,0.11336746408303978
Multiple Linear Regression,120,10,110,6,2032,7,62032,0.5,True,,0.020391431684082344
Correlation Analysis,120,10,110,6,2032,7,62032,0.5,True,,0.030047234061812245
Variance Analysis,120,10,110,6,2032,7,62032,0.5,True,,0.19236477041985023
Logistic Regression,120,10,110,6,2032,8,62033,0.5,True,,0.14121272179159158
Multiple Linear Regression,120,10,110,6,2032,8,62033,0.5,True,,0.02265754944705006
Correlation Analysis,120,10,110,6,2032,8,62033,0.5,True,,0.03160406372554544
Variance Analysis,120,10,110,6,2032,8,62033,0.5,True,,0.12114190465873192
Logistic Regression,120,10,110,6,2032,9,62034,0.5,True,,0.21344396554982062
Multiple Linear Regression,120,10,110,6,2032,9,62034,0.5,True,,0.0359419204086557
Correlation Analysis,120,10,110,6,2032,9,62034,0.5,True,,0.04480213914144926
Variance Analysis,120,10,110,6,2032,9,62034,0.5,True,,0.16867428756371716
Logistic Regression,120,10,110,6,2032,10,62035,0.5,True,,0.1259295014356058
Multiple Linear Regression,120,10,110,6,2032,10,62035,0.5,True,,0.02501059672984938
Correlation Analysis,120,10,110,6,2032,10,62035,0.5,True,,0.03531303080835175
Variance Analysis,120,10,110,6,2032,10,62035,0.5,True,,0.13377848460124683
Logistic Regression,120,10,110,7,2033,1,72026,0.5,True,,0.218527648641103
Multiple Linear Regression,120,10,110,7,2033,1,72026,0.5,True,,0.032792655736914436
Correlation Analysis,120,10,110,7,2033,1,72026,0.5,True,,0.029028477787150286
Variance Analysis,120,10,110,7,2033,1,72026,0.5,True,,0.167864914829325
Logistic Regression,120,10,110,7,2033,2,72027,0.5,True,,0.1787634748343564
Multiple Linear Regression,120,10,110,7,2033,2,72027,0.5,True,,0.020745841588702515
Correlation Analysis,120,10,110,7,2033,2,72027,0.5,True,,0.03054318395155988
Variance Analysis,120,10,110,7,2033,2,72027,0.5,True,,0.1905359530845563
Logistic Regression,120,10,110,7,2033,3,72028,0.5,True,,0.20912074702732839
Multiple Linear Regression,120,10,110,7,2033,3,72028,0.5,True,,0.014953887332155727
Correlation Analysis,120,10,110,7,2033,3,72028,0.5,True,,0.04645106553216522
Variance Analysis,120,10,110,7,2033,3,72028,0.5,True,,0.16929940987105452
Logistic Regression,120,10,110,7,2033,4,72029,0.5,True,,0.2350818576875582
Multiple Linear Regression,120,10,110,7,2033,4,72029,0.5,True,,0.016209981543331316
Correlation Analysis,120,10,110,7,2033,4,72029,0.5,True,,0.030734198974617526
Variance Analysis,120,10,110,7,2033,4,72029,0.5,True,,0.16792170305458062
Logistic Regression,120,10,110,7,2033,5,72030,0.5,True,,0.2081954139921579
Multiple Linear Regression,120,10,110,7,2033,5,72030,0.5,True,,0.02362010948476518
Correlation Analysis,120,10,110,7,2033,5,72030,0.5,True,,0.040005698599726774
Variance Analysis,120,10,110,7,2033,5,72030,0.5,True,,0.19206871740571835
Logistic Regression,120,10,110,7,2033,6,72031,0.5,True,,0.10818933881581125
Multiple Linear Regression,120,10,110,7,2033,6,72031,0.5,True,,0.019026976011256597
Correlation Analysis,120,10,110,7,2033,6,72031,0.5,True,,0.03872451219622997
