analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Figure 1,0.1,15,2040,True,,0.0092674357748476,0.01563928650238738,0.8551587301587302,nan,nan,nan,nan,0.6666666666666666,0.875,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9940476190476191,0.9285714285714286
Figure 2,0.1,15,2040,True,,0.05632550772209733,0.05456999870078112,0.30676637410555774,nan,nan,nan,0.2270654964222309,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,15,2040,True,,0.004884609107769955,0.05076003662011163,0.9150246305418719,1.0,nan,1.0,0.993431855500821,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,15,2040,True,,0.015134143999162873,0.014276766822105004,0.9543650793650794,nan,nan,nan,0.9880952380952381,nan,0.875,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,16,2041,True,,0.023479753426817518,0.24195703818082429,0.8988095238095237,1.0,1.0,0.6666666666666666,0.9285714285714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,16,2041,True,,0.002377639443511467,0.054182239260735225,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,2.6731564175319633e-05,nan,nan,nan,nan
Figure 1,0.1,16,2041,True,,0.009052602828319474,0.015276744577896866,0.9375,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9642857142857144
Figure 2,0.1,16,2041,True,,0.05432627325471653,0.05263307479721324,0.6884182861789802,nan,nan,nan,0.7536731447159205,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,16,2041,True,,0.003680642538518259,0.03824861845004904,0.9159824849480022,1.0,nan,1.0,0.997263273125342,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,16,2041,True,,0.015369499372913889,0.014498788879748864,0.9841269841269842,nan,nan,nan,0.9523809523809524,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,17,2042,True,,0.014916842565168266,0.1537169058153506,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,17,2042,True,,0.0020716835787779483,0.047210040884965505,0.8824404761904762,0.875,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0002872277780050503,nan,nan,nan,nan
Figure 1,0.1,17,2042,True,,0.009618567788811897,0.016231840289644483,0.9940476190476191,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9642857142857144
Figure 2,0.1,17,2042,True,,0.05813484151426278,0.05632294060367341,0.5941324073334666,nan,nan,nan,0.37652962933386636,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,17,2042,True,,0.005010159616377433,0.05206473639730604,0.9976053639846743,1.0,nan,1.0,0.9904214559386972,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,17,2042,True,,0.016629774554227036,0.015687667147081932,0.996031746031746,nan,nan,nan,0.9880952380952381,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,18,2043,True,,0.015541114295431601,0.16014997758270635,0.9910714285714286,1.0,1.0,1.0,0.9642857142857144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,18,2043,True,,0.0018641710350926755,0.04248119340464527,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,7.924141672632778e-05,nan,nan,nan,nan
Figure 1,0.1,18,2043,True,,0.011789054072964308,0.019894650334629112,0.9424603174603173,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9880952380952381
Figure 2,0.1,18,2043,True,,0.0582626509116003,0.05644676653847133,0.6646364288618626,nan,nan,nan,0.6585457154474503,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,18,2043,True,,0.005022264735229638,0.052190530757237785,0.8318965517241378,1.0,nan,0.6666666666666666,0.9942528735632183,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,18,2043,True,,0.021721063035837786,0.020490524743788183,1.0,nan,nan,nan,1.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,19,2044,True,,0.025396202760216,0.26170589993859283,0.7886904761904763,1.0,1.0,0.3333333333333333,0.8214285714285714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,19,2044,True,,0.0032196519141980524,0.07337022895856987,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.00044774861894258944,nan,nan,nan,nan
Figure 1,0.1,19,2044,True,,0.011462169889356713,0.019343016039583542,0.9910714285714285,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9523809523809523
